#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
74,Cameroon,"19,409",,414,,"17,651",,"1,344",30,728,16,"149,000","5,590","26,653,272",Africa,"1,373","64,380",179
75,Paraguay,"18,338",,348,,"9,721",,"8,269",85,"2,566",49,"195,554","27,360","7,147,313",SouthAmerica,390,"20,538",37
76,IvoryCoast,"18,103",,117,,"16,814",,"1,172",,684,4,"128,187","4,840","26,484,492",Africa,"1,463","226,363",207
77,Lebanon,"17,777",,171,,"4,988",,"12,618",97,"2,607",25,"536,269","78,631","6,820,059",Asia,384,"39,883",13
78,Denmark,"17,195",+111,626,+1,"15,413",+113,"1,156",4,"2,967",108,"2,526,753","435,968","5,795,724",Europe,337,"9,258",2
79,Bulgaria,"16,454",,642,,"11,615",,"4,197",62,"2,371",93,"415,797","59,920","6,939,160",Europe,422,"10,809",17
80,Libya,"15,156",+532,250,+8,"1,746",+70,"13,160",,"2,201",36,"114,145","16,574","6,886,992",Africa,454,"27,548",60
81,Madagascar,"15,023",+66,196,+1,"13,965",+50,862,42,540,7,"58,946","2,120","27,806,443",Africa,"1,851","141,870",472
82,NorthMacedonia,"14,600",+145,606,+2,"11,741",+216,"2,253",1,"7,008",291,"151,706","72,818","2,083,359",Europe,143,"3,438",14
83,Senegal,"13,743",+88,287,+3,"9,506",+22,"3,950",33,817,17,"148,349","8,822","16,815,329",Africa,"1,224","58,590",113
84,Sudan,"13,189",,823,,"6,612",,"5,754",,300,19,401,9,"44,016,458",Africa,"3,337","53,483","109,767"
85,Zambia,"12,415",+34,292,+2,"11,494",+15,629,,672,16,"118,490","6,416","18,466,845",Africa,"1,487","63,243",156
86,Norway,"10,951",+80,264,,"9,348",,"1,339",1,"2,017",49,"745,279","137,291","5,428,478",Europe,496,"20,562",7
87,Greece,"10,757",+233,273,+2,"3,804",,"6,680",38,"1,033",26,"980,500","94,151","10,414,074",Europe,968,"38,147",11
